n [count],α [°],L [mm],H [mm],b [mm],d [mm],γ [N/mm3],Vroot [mm3],P0 [N],DR [ ],d50 [mm],φ [°],f
F,90,37.5,150.0,37.5,5.0,1.6227528090000002e-05,25034.566458293662,20.32484502671,0.8,0.12,39.33,1.0
F,90,50.0,150.0,50.0,5.0,1.6227528090000002e-05,42215.15128261285,33.270717448849986,0.8,0.12,39.33,1.0
3,30,62.5,112.5,31.25,6.25,1.6227528090000002e-05,7312.571928023205,4.592529706204999,0.8,0.12,39.33,0.7617617617617618
3,60,36.084392,112.5,31.25,6.25,1.6227528090000002e-05,6085.8830149056985,5.462505086325,0.8,0.12,39.33,0.6546546546546547
6,60,36.084392,112.5,31.25,6.25,1.6227528090000002e-05,9007.412975046624,10.430187207615,0.8,0.12,39.33,0.8968968968968969
3,30,75.0,135.0,37.5,7.5,1.6227528090000002e-05,12636.124291624099,5.526257137309999,0.8,0.12,39.33,0.7257257257257257
6,30,75.0,135.0,37.5,7.5,1.6227528090000002e-05,21380.216071946365,9.086513367224999,0.8,0.12,39.33,0.8238238238238238
3,60,43.30127,135.0,37.5,7.5,1.6227528090000002e-05,10516.405805578399,10.09573827402,0.8,0.12,39.33,0.6146146146146146
6,60,43.30127,135.0,37.5,7.5,1.6227528090000002e-05,15564.809523687549,14.704454836715,0.8,0.12,39.33,0.8118118118118118
3,30,87.5,157.5,43.75,8.75,1.6227528090000002e-05,20065.69737049568,10.531208451260001,0.8,0.12,39.33,0.6716716716716716
6,30,87.5,157.5,43.75,8.75,1.6227528090000002e-05,33950.99126239631,14.588719695410001,0.8,0.12,39.33,0.7897897897897898
3,60,50.518149,157.5,43.75,8.75,1.6227528090000002e-05,16699.66302296726,14.920036973394,0.8,0.12,39.33,0.5825825825825826
6,60,50.518149,157.5,43.75,8.75,1.6227528090000002e-05,24716.341269673198,21.283577453985,0.8,0.12,39.33,0.7857857857857858
6,30,100.0,180.0,50.0,10.0,1.6227528090000002e-05,50679.03068905805,21.632566707535,0.8,0.12,39.33,0.7637637637637638
3,60,57.735027,180.0,50.0,10.0,1.6227528090000002e-05,24927.77678978383,15.646989620185002,0.8,0.12,39.33,0.5565565565565566
6,60,57.735027,180.0,50.0,10.0,1.6227528090000002e-05,36894.36345939719,85.96256966828999,0.8,0.12,39.33,0.7227227227227228
3,30,50.0,90.0,25.0,5.0,1.533716814e-05,3744.036827147881,1.2761375825403,0.5,0.12,30.8,0.7387387387387387
3,30,50.0,120.0,25.0,5.0,1.533716814e-05,4333.085449695966,2.9638776074380155,0.5,0.12,30.8,0.5865865865865866
6,30,50.0,90.0,25.0,5.0,1.533716814e-05,6334.878836132256,2.1346209100185054,0.5,0.12,30.8,0.8368368368368369
6,30,50.0,120.0,25.0,5.0,1.533716814e-05,6923.927458680342,4.339428168262558,0.5,0.12,30.8,0.7397397397397397
F,30,50.0,90.0,25.0,5.0,1.533716814e-05,20595.51473189553,5.4125326612273295,0.5,0.12,30.8,0.984984984984985
3,45,35.3553,90.0,25.0,5.0,1.533716814e-05,3275.3384930563802,2.027310549686568,0.5,0.12,30.8,0.7137137137137137
3,45,35.3553,120.0,25.0,5.0,1.533716814e-05,3864.3871156044665,2.9150934581447117,0.5,0.12,30.8,0.5295295295295295
6,45,35.3553,90.0,25.0,5.0,1.533716814e-05,5107.338145807912,3.5199144222337626,0.5,0.12,30.8,0.8558558558558559
6,45,35.3553,120.0,25.0,5.0,1.533716814e-05,5696.386768355997,4.95399163891963,0.5,0.12,30.8,0.7747747747747747
F,45,35.3553,90.0,25.0,5.0,1.533716814e-05,15206.531093064585,5.753948310536512,0.5,0.12,30.8,0.9349349349349351
3,60,28.8675,90.0,25.0,5.0,1.533716814e-05,3115.971436043278,2.5834198705808697,0.5,0.12,30.8,0.7237237237237237
6,60,28.8675,90.0,25.0,5.0,1.533716814e-05,4611.793974529307,4.007754580698716,0.5,0.12,30.8,0.8318318318318318
F,60,28.8675,90.0,25.0,5.0,1.533716814e-05,12895.55027804501,5.988126105612304,0.5,0.12,30.8,0.945945945945946
3,90,25.0,90.0,25.0,5.0,1.533716814e-05,3180.700573388465,2.524893214719544,0.5,0.12,30.8,0.4924924924924925
6,90,25.0,90.0,25.0,5.0,1.533716814e-05,4476.121577880652,4.329685661694532,0.5,0.12,30.8,0.8138138138138138
F,90,50.0,60.0,50.0,5.0,1.533716814e-05,40448.00541496859,10.892366253773668,0.5,0.12,30.8,1.0
F,90,25.0,90.0,25.0,5.0,1.533716814e-05,11584.622910112363,6.544162920408052,0.5,0.12,30.8,0.972972972972973
F,90,25.0,90.0,25.0,5.0,1.533716814e-05,11584.622910112363,4.9507842826749995,0.5,0.12,30.8,1.0
F,90,50.0,90.0,50.0,5.0,1.533716814e-05,41037.05403751668,16.834048377514243,0.5,0.12,30.8,1.0
F,90,12.5,120.0,12.5,5.0,1.533716814e-05,4810.5637508093705,1.651705433421668,0.5,0.12,30.8,1.0
F,90,25.0,120.0,25.0,5.0,1.533716814e-05,12173.67153266045,6.534560219005003,0.5,0.12,30.8,1.0
F,90,37.5,150.0,37.5,5.0,1.533716814e-05,25034.566458293662,18.209852320412942,0.5,0.12,30.8,1.0
3,30,50.0,90.0,25.0,5.0,1.534730914e-05,3744.036827147881,1.0075668964795006,0.8,0.1,27.34,0.7137137137137137
6,30,50.0,90.0,25.0,5.0,1.534730914e-05,6334.878836132256,2.10802571602,0.8,0.1,27.34,0.8658658658658659
3,45,35.355339,90.0,25.0,5.0,1.534730914e-05,3275.3402488696497,1.0311100153340005,0.8,0.1,27.34,0.6876876876876877
6,45,35.355339,90.0,25.0,5.0,1.534730914e-05,5107.342198910808,2.5425167973240006,0.8,0.1,27.34,0.8988988988988988
3,60,28.867513,90.0,25.0,5.0,1.534730914e-05,3115.972074179287,1.3694771959365002,0.8,0.1,27.34,0.7037037037037037
6,60,28.867513,90.0,25.0,5.0,1.534730914e-05,4611.795378428525,3.849900737123,0.8,0.1,27.34,0.9539539539539541
3,75,25.881905,90.0,25.0,5.0,1.534730914e-05,3099.036158305483,2.6837461885675005,0.8,0.1,27.34,0.7797797797797797
6,75,25.881905,90.0,25.0,5.0,1.534730914e-05,4440.154696707681,3.6380493443035,0.8,0.1,27.34,1.0
F,90,50.0,60.0,50.0,5.0,1.534730914e-05,40448.00541496859,9.464497581532367,0.8,0.1,27.34,1.0
F,90,25.0,90.0,25.0,5.0,1.534730914e-05,11584.622910112363,5.106443276795001,0.8,0.1,27.34,1.0
F,90,50.0,90.0,50.0,5.0,1.534730914e-05,41037.05403751668,15.555964294885001,0.8,0.1,27.34,1.0
F,90,12.5,120.0,12.5,5.0,1.534730914e-05,4810.5637508093705,0.9866982773873088,0.8,0.1,27.34,1.0
F,90,25.0,120.0,25.0,5.0,1.534730914e-05,12173.67153266045,6.3900952412738015,0.8,0.1,27.34,1.0
F,90,37.5,150.0,37.5,5.0,1.534730914e-05,25034.566458293662,14.277479135129326,0.8,0.1,27.34,1.0
3,30,50.0,90.0,25.0,5.0,1.513421783e-05,3744.036827147881,0.8045453132534996,0.55,0.1,26.6,0.6936936936936937
6,30,50.0,90.0,25.0,5.0,1.513421783e-05,6334.878836132256,1.8736109867474997,0.55,0.1,26.6,0.8308308308308309
3,45,35.355339,90.0,25.0,5.0,1.513421783e-05,3275.3402488696497,1.238049747501,0.55,0.1,26.6,0.7007007007007007
6,45,35.355339,90.0,25.0,5.0,1.513421783e-05,5107.342198910808,1.8196757846785003,0.55,0.1,26.6,0.8928928928928929
3,60,28.867513,90.0,25.0,5.0,1.513421783e-05,3115.972074179287,1.4695191475124991,0.55,0.1,26.6,0.6576576576576577
6,60,28.867513,90.0,25.0,5.0,1.513421783e-05,4611.795378428525,3.0554584308324992,0.55,0.1,26.6,0.9069069069069068
3,75,25.881905,90.0,25.0,5.0,1.513421783e-05,3099.036158305483,2.1364661778179994,0.55,0.1,26.6,0.7327327327327328
6,75,25.881905,90.0,25.0,5.0,1.513421783e-05,4440.154696707681,3.587045644118999,0.55,0.1,26.6,0.947947947947948
F,90,50.0,60.0,50.0,5.0,1.513421783e-05,40448.00541496859,9.038056094468333,0.55,0.1,26.6,1.0
F,90,25.0,90.0,25.0,5.0,1.513421783e-05,11584.622910112363,3.2612028117516667,0.55,0.1,26.6,1.0
F,90,50.0,90.0,50.0,5.0,1.513421783e-05,41037.05403751668,14.040888916885978,0.55,0.1,26.6,1.0
F,90,12.5,120.0,12.5,5.0,1.513421783e-05,4810.5637508093705,0.9970258019443764,0.55,0.1,26.6,1.0
F,90,25.0,120.0,25.0,5.0,1.513421783e-05,12173.67153266045,6.162800577931668,0.55,0.1,26.6,1.0
F,90,37.5,150.0,37.5,5.0,1.513421783e-05,25034.566458293662,13.924232750427224,0.55,0.1,26.6,1.0
3,30,50.0,90.0,25.0,5.0,1.6750322160000002e-05,3744.036827147881,0.941854496159499,0.8,0.72,34.05,0.7237237237237237
6,30,50.0,90.0,25.0,5.0,1.6750322160000002e-05,6334.878836132256,2.1825584134829987,0.8,0.72,34.05,0.9129129129129128
3,45,35.355339,90.0,25.0,5.0,1.6750322160000002e-05,3275.3402488696497,1.0195258119549986,0.8,0.72,34.05,0.7687687687687688
6,45,35.355339,90.0,25.0,5.0,1.6750322160000002e-05,5107.342198910808,1.6128987448349985,0.8,0.72,34.05,0.8668668668668669
3,60,28.867513,90.0,25.0,5.0,1.6750322160000002e-05,3115.972074179287,1.1801800193854992,0.8,0.72,34.05,0.7957957957957958
