α [°],H [mm],b [mm],Ls [mm],d [mm],γ [N/mm3],Pmax [N],Vroot [mm3],DR [ ]
45,120.0,25.0,95.0,5.0,1.533716814e-05,17.93884149099618,5696.386768355997,0.5
45,90.0,25.0,65.0,5.0,1.533716814e-05,11.100057378677503,15206.531093064585,0.5
60,90.0,25.0,75.56624327025935,5.0,1.533716814e-05,8.739227672084079,3115.971436043278,0.5
60,90.0,25.0,75.56624327025935,5.0,1.533716814e-05,10.036695392280755,4611.793974529307,0.5
60,90.0,25.0,75.56624327025935,5.0,1.533716814e-05,11.529370881281128,12895.55027804501,0.5
90,90.0,25.0,90.0,5.0,1.533716814e-05,7.861187715016644,3180.700573388465,0.5
90,90.0,25.0,90.0,5.0,1.533716814e-05,10.592804268352369,4476.121577880652,0.5
90,60.0,50.0,60.0,5.0,1.533716814e-05,15.198136307690001,40448.00541496859,0.5
90,90.0,25.0,90.0,5.0,1.533716814e-05,12.153676858506227,11584.622910112363,0.5
90,90.0,25.0,90.0,5.0,1.533716814e-05,13.187881911505,11584.622910112363,0.5
90,90.0,50.0,90.0,5.0,1.533716814e-05,30.124631352374998,41037.05403751668,0.5
90,120.0,12.5,120.0,5.0,1.533716814e-05,14.965006739900003,4810.5637508093705,0.5
90,120.0,25.0,120.0,5.0,1.533716814e-05,22.573030326525,12173.67153266045,0.5
90,150.0,37.5,150.0,5.0,1.533716814e-05,52.199373043754996,25034.566458293662,0.5
30,90.0,25.0,46.69873,5.0,1.534730914e-05,5.702605711267501,3744.036827147881,0.8
30,90.0,25.0,46.69873,5.0,1.534730914e-05,7.934872992134268,6334.878836132256,0.8
45,90.0,25.0,65.0,5.0,1.534730914e-05,6.3970065563145,3275.3402488696497,0.8
45,90.0,25.0,65.0,5.0,1.534730914e-05,9.017665388634,5107.342198910808,0.8
60,90.0,25.0,75.566243,5.0,1.534730914e-05,7.194380129129901,3115.972074179287,0.8
60,90.0,25.0,75.566243,5.0,1.534730914e-05,10.002382300281,4611.795378428525,0.8
75,90.0,25.0,83.30127,5.0,1.534730914e-05,8.383098190658101,3099.036158305483,0.8
75,90.0,25.0,83.30127,5.0,1.534730914e-05,11.2862303781465,4440.154696707681,0.8
90,60.0,50.0,60.0,5.0,1.534730914e-05,14.507070508175001,40448.00541496859,0.8
90,90.0,25.0,90.0,5.0,1.534730914e-05,11.12583075135,11584.622910112363,0.8
90,90.0,50.0,90.0,5.0,1.534730914e-05,27.10879521987,41037.05403751668,0.8
90,120.0,12.5,120.0,5.0,1.534730914e-05,12.158245443399998,4810.5637508093705,0.8
90,120.0,25.0,120.0,5.0,1.534730914e-05,19.678395562035004,12173.67153266045,0.8
90,150.0,37.5,150.0,5.0,1.534730914e-05,44.422068045495,25034.566458293662,0.8
30,90.0,25.0,46.69873,5.0,1.513421783e-05,5.1808277957765005,3744.036827147881,0.55
30,90.0,25.0,46.69873,5.0,1.513421783e-05,7.030587322980199,6334.878836132256,0.55
45,90.0,25.0,65.0,5.0,1.513421783e-05,6.2243842151575,3275.3402488696497,0.55
45,90.0,25.0,65.0,5.0,1.513421783e-05,8.525307030877,5107.342198910808,0.55
60,90.0,25.0,75.566243,5.0,1.513421783e-05,6.404842363863999,3115.972074179287,0.55
60,90.0,25.0,75.566243,5.0,1.513421783e-05,8.993143075776997,4611.795378428525,0.55
75,90.0,25.0,83.30127,5.0,1.513421783e-05,7.553344971839449,3099.036158305483,0.55
75,90.0,25.0,83.30127,5.0,1.513421783e-05,9.639485549900499,4440.154696707681,0.55
90,60.0,50.0,60.0,5.0,1.513421783e-05,13.370124772445,40448.00541496859,0.55
90,90.0,25.0,90.0,5.0,1.513421783e-05,10.2858421456,11584.622910112363,0.55
90,90.0,50.0,90.0,5.0,1.513421783e-05,25.342783287255003,41037.05403751668,0.55
90,120.0,12.5,120.0,5.0,1.513421783e-05,11.038874205135002,4810.5637508093705,0.55
90,120.0,25.0,120.0,5.0,1.513421783e-05,17.90312419049,12173.67153266045,0.55
90,150.0,37.5,150.0,5.0,1.513421783e-05,43.31471976013,25034.566458293662,0.55
30,90.0,25.0,46.69873,5.0,1.6750322160000002e-05,8.752849122536396,3744.036827147881,0.8
30,90.0,25.0,46.69873,5.0,1.6750322160000002e-05,12.864312475419998,6334.878836132256,0.8
45,90.0,25.0,65.0,5.0,1.6750322160000002e-05,10.981392526160002,3275.3402488696497,0.8
45,90.0,25.0,65.0,5.0,1.6750322160000002e-05,12.70855345347,5107.342198910808,0.8
60,90.0,25.0,75.566243,5.0,1.6750322160000002e-05,12.186581856641498,3115.972074179287,0.8
60,90.0,25.0,75.566243,5.0,1.6750322160000002e-05,14.478869524769998,4611.795378428525,0.8
75,90.0,25.0,83.30127,5.0,1.6750322160000002e-05,12.760537524455,3099.036158305483,0.8
75,90.0,25.0,83.30127,5.0,1.6750322160000002e-05,16.62875394565,4440.154696707681,0.8
90,60.0,50.0,60.0,5.0,1.6750322160000002e-05,19.436020284625002,40448.00541496859,0.8
90,90.0,25.0,90.0,5.0,1.6750322160000002e-05,16.750453491485,11584.622910112363,0.8
90,90.0,50.0,90.0,5.0,1.6750322160000002e-05,36.44491234621999,41037.05403751668,0.8
90,120.0,12.5,120.0,5.0,1.6750322160000002e-05,19.76258074896,4810.5637508093705,0.8
90,120.0,25.0,120.0,5.0,1.6750322160000002e-05,29.22451131082,12173.67153266045,0.8
90,150.0,37.5,150.0,5.0,1.6750322160000002e-05,65.57171019644,25034.566458293662,0.8
30,112.5,31.25,58.373412,6.25,1.6750322160000002e-05,17.071087797225,7312.571928023205,0.8
30,112.5,31.25,58.373412,6.25,1.6750322160000002e-05,20.180180267904998,12372.810226820813,0.8
60,112.5,31.25,94.45780400000001,6.25,1.6750322160000002e-05,18.37651276062,6085.8830149056985,0.8
60,112.5,31.25,94.45780400000001,6.25,1.6750322160000002e-05,22.81360804499,9007.412975046624,0.8
30,135.0,37.5,70.04809499999999,7.5,1.6750322160000002e-05,24.158261569715,12636.124291624099,0.8
30,135.0,37.5,70.04809499999999,7.5,1.6750322160000002e-05,31.058099887920005,21380.216071946365,0.8
60,135.0,37.5,113.34936,7.5,1.6750322160000002e-05,33.03536177151,10516.405805578399,0.8
